Artist,Album
Michael Jackson,Thriller
Travis Scott,Rodeo
Nas,Illmatic
Kendrick Lamar,DAMN
A Tribe Called Quest,The Low End Theory
Vince Staples,Big Fish Theory
Calvin Harris,Motion
Years and Years,Communion
Big Sean,Dark Sky Paradise
Alex Wiley,Tangerine Dream
Dreezy,HITGIRL
Alesso,Forever
Whitney Houston,Whitney Houston
TLC,CrazySexyCool
The Jacksons,Triumph
"Earth, Wind and Fire",I Am
"Brent Faiyaz","Fuck The World"
"Karun","Catch A Vibe"
"Janice Iche","How You Flow"
"Wiz Khalifa","The Saga of Wiz Khalifa"
"Muse","Drones"
"Post Malone","beerbongs & bentleys"
"B.o.B","Somnia"
"Paramore","After Laughter"
"Sampha","Process"
"Katty Perry","Witness"
"H.E.R","H.E.R"
"B.o.B","Southmatic"
"DONNY ARCADE","Return of Enki"
"Bob Marley & The Wailers","Exodus"
"Chronixx","Chronology"
"Protoje","A Matter of Time"
"Vanjess","Homegrown"
"The Weeknd","Dawn FM"
"Aaliyah","Aaliyah"
"Jon Bellion","The Human Condition"
"Jaden","SYRE"
"SAINt JHN","Collection One"
"Bryson Tiller","T R A P S O U L"
"Rich Homie Quan","Family & Mula"
"J. Cole","2014 Forest Hills Drive"
"J. Cole","4 Your Eyez Only"
"Lila Iké","The ExPerience"
"Logic","The Incredible True Story"
"Ty Dolla $ign","Beach House 3"
"Smino","blkswn"
"Mick Jenkins","The Healing Component"
"Jay Prince","Late Summers"
"Jess Glynne","I Cry When I Laugh"
"OneRepublic","Oh My My"
"Kygo","Cloud Nine"
"Slipknot",".5: The Gray Chapter"
"Elaine","Elements"
"Hempress Sativa","Unconquerebel"
"Fridayy","Lost In Melody"
"D'rok the Menace","Self: A Realization"
"Fvzzkill","Plastic Life"
"Fvzzkill","Me and Your Sista"
"Khary","Intern Aquarium"
"Troi Irons","Lost Angels"
"Wiz Khalifa","Laugh Now, Fly Later"
"Little Simz","Sometimes I Might Be Introvert"
"E-40","Practice Makes Paper"
"Future","Monster"
